# Mode B discovery set: frozen arXiv sample (UNLABELED).
# regenerate: python src/sample_arxiv.py --from 20260301 --to 20260331 --per-cat 35
# window 20260301..20260331; cats: stat.ME,eess.SY,cs.LG,q-bio.QM,q-fin.ST,physics.soc-ph,cond-mat.stat-mech,astro-ph.IM,q-bio.NC,math.OC
id,url,field,license,note
mb-q-bio-QM-026,https://arxiv.org/abs/2603.06819,q-bio.QM,arXiv,
mb-q-bio-QM-027,https://arxiv.org/abs/2603.08751,q-bio.QM,arXiv,
mb-q-bio-QM-028,https://arxiv.org/abs/2603.13342,q-bio.QM,arXiv,
mb-q-bio-QM-029,https://arxiv.org/abs/2603.07254,q-bio.QM,arXiv,
mb-q-bio-QM-030,https://arxiv.org/abs/2603.07279,q-bio.QM,arXiv,
mb-q-bio-QM-031,https://arxiv.org/abs/2603.07364,q-bio.QM,arXiv,
mb-q-bio-QM-032,https://arxiv.org/abs/2603.08345,q-bio.QM,arXiv,
mb-q-bio-QM-033,https://arxiv.org/abs/2603.08444,q-bio.QM,arXiv,
mb-q-bio-QM-034,https://arxiv.org/abs/2603.09033,q-bio.QM,arXiv,
mb-q-bio-QM-035,https://arxiv.org/abs/2603.09531,q-bio.QM,arXiv,
mb-q-fin-ST-001,https://arxiv.org/abs/2603.02898,q-fin.ST,arXiv,
mb-q-fin-ST-002,https://arxiv.org/abs/2603.18021,q-fin.ST,arXiv,
mb-q-fin-ST-003,https://arxiv.org/abs/2603.05119,q-fin.ST,arXiv,
mb-q-fin-ST-004,https://arxiv.org/abs/2603.05260,q-fin.ST,arXiv,
mb-q-fin-ST-005,https://arxiv.org/abs/2603.05917,q-fin.ST,arXiv,
mb-q-fin-ST-006,https://arxiv.org/abs/2603.19286,q-fin.ST,arXiv,
mb-q-fin-ST-007,https://arxiv.org/abs/2603.20237,q-fin.ST,arXiv,
mb-q-fin-ST-008,https://arxiv.org/abs/2603.10202,q-fin.ST,arXiv,
mb-q-fin-ST-009,https://arxiv.org/abs/2603.10272,q-fin.ST,arXiv,
mb-q-fin-ST-010,https://arxiv.org/abs/2603.11408,q-fin.ST,arXiv,
mb-q-fin-ST-011,https://arxiv.org/abs/2603.12040,q-fin.ST,arXiv,
mb-q-fin-ST-012,https://arxiv.org/abs/2603.13632,q-fin.ST,arXiv,
mb-q-fin-ST-013,https://arxiv.org/abs/2603.20271,q-fin.ST,arXiv,
mb-q-fin-ST-014,https://arxiv.org/abs/2603.16720,q-fin.ST,arXiv,
mb-q-fin-ST-015,https://arxiv.org/abs/2603.17463,q-fin.ST,arXiv,
mb-q-fin-ST-016,https://arxiv.org/abs/2603.18107,q-fin.ST,arXiv,
mb-q-fin-ST-017,https://arxiv.org/abs/2603.19136,q-fin.ST,arXiv,
mb-q-fin-ST-018,https://arxiv.org/abs/2603.19380,q-fin.ST,arXiv,
mb-q-fin-ST-019,https://arxiv.org/abs/2603.19944,q-fin.ST,arXiv,
mb-q-fin-ST-020,https://arxiv.org/abs/2603.20456,q-fin.ST,arXiv,
mb-q-fin-ST-021,https://arxiv.org/abs/2603.20965,q-fin.ST,arXiv,
mb-q-fin-ST-022,https://arxiv.org/abs/2603.21672,q-fin.ST,arXiv,
mb-q-fin-ST-023,https://arxiv.org/abs/2603.21797,q-fin.ST,arXiv,
mb-q-fin-ST-024,https://arxiv.org/abs/2603.22886,q-fin.ST,arXiv,
mb-q-fin-ST-025,https://arxiv.org/abs/2603.23300,q-fin.ST,arXiv,
mb-q-fin-ST-026,https://arxiv.org/abs/2603.24190,q-fin.ST,arXiv,
mb-q-fin-ST-027,https://arxiv.org/abs/2603.24215,q-fin.ST,arXiv,
mb-q-fin-ST-028,https://arxiv.org/abs/2603.25338,q-fin.ST,arXiv,
mb-q-fin-ST-029,https://arxiv.org/abs/2604.09650,q-fin.ST,arXiv,
mb-q-fin-ST-030,https://arxiv.org/abs/2603.28198,q-fin.ST,arXiv,
mb-q-fin-ST-031,https://arxiv.org/abs/2603.28257,q-fin.ST,arXiv,
mb-q-fin-ST-032,https://arxiv.org/abs/2603.29763,q-fin.ST,arXiv,
mb-physics-soc-ph-001,https://arxiv.org/abs/2603.01299,physics.soc-ph,arXiv,
mb-physics-soc-ph-002,https://arxiv.org/abs/2603.01325,physics.soc-ph,arXiv,
mb-physics-soc-ph-003,https://arxiv.org/abs/2603.01740,physics.soc-ph,arXiv,
mb-physics-soc-ph-004,https://arxiv.org/abs/2603.01785,physics.soc-ph,arXiv,
mb-physics-soc-ph-005,https://arxiv.org/abs/2603.01798,physics.soc-ph,arXiv,
mb-physics-soc-ph-006,https://arxiv.org/abs/2603.02131,physics.soc-ph,arXiv,
mb-physics-soc-ph-007,https://arxiv.org/abs/2603.03370,physics.soc-ph,arXiv,
mb-physics-soc-ph-008,https://arxiv.org/abs/2603.04457,physics.soc-ph,arXiv,
mb-physics-soc-ph-009,https://arxiv.org/abs/2603.02571,physics.soc-ph,arXiv,
mb-physics-soc-ph-010,https://arxiv.org/abs/2603.03179,physics.soc-ph,arXiv,
mb-physics-soc-ph-011,https://arxiv.org/abs/2603.03260,physics.soc-ph,arXiv,
mb-physics-soc-ph-012,https://arxiv.org/abs/2603.03641,physics.soc-ph,arXiv,
mb-physics-soc-ph-013,https://arxiv.org/abs/2603.16900,physics.soc-ph,arXiv,
mb-physics-soc-ph-014,https://arxiv.org/abs/2603.03949,physics.soc-ph,arXiv,
mb-physics-soc-ph-015,https://arxiv.org/abs/2603.04059,physics.soc-ph,arXiv,
mb-physics-soc-ph-016,https://arxiv.org/abs/2603.04215,physics.soc-ph,arXiv,
mb-physics-soc-ph-017,https://arxiv.org/abs/2603.04669,physics.soc-ph,arXiv,
